power,threads,time,abs_err,rel_err
16,64,2.5116701428571426,0.0,0.0
16,128,2.4139161904761903,0.0,0.0
16,256,2.355889476190476,0.0,0.0
16,512,2.335272285714286,0.0,0.0
16,1024,2.366765761904762,0.0,0.0
18,64,2.852285952380952,0.0,0.0
18,128,2.8485011904761905,0.0,0.0
18,256,2.996904476190476,0.0,0.0
18,512,2.837551,0.0,0.0
18,1024,2.9913182380952383,0.0,0.0
20,64,2.934595142857143,0.0,0.0
20,128,2.9618169047619047,0.0,0.0
20,256,2.870726857142857,0.0,0.0
20,512,2.890569619047619,0.0,0.0
20,1024,3.021198714285714,0.0,0.0
22,64,2.9901306666666665,0.0,0.0
22,128,3.190460714285714,0.0,0.0
22,256,3.0711919047619047,0.0,0.0
22,512,2.934741428571429,0.0,0.0
22,1024,2.945118238095238,0.0,0.0
24,64,3.8620227142857146,0.0,0.0
24,128,3.296399142857143,0.0,0.0
24,256,3.3482918095238094,0.0,0.0
24,512,3.524570904761905,0.0,0.0
24,1024,3.5923868095238096,0.0,0.0
26,64,5.3102771904761905,0.0,0.0
26,128,5.218723761904762,0.0,0.0
26,256,5.1330199047619045,0.0,0.0
26,512,4.826961285714286,0.0,0.0
26,1024,5.233209,0.0,0.0
