power,threads,time,abs_err,rel_err
16,64,2.4497523333333335,0.0,0.0
16,128,2.261497809523809,0.0,0.0
16,256,2.6014818095238095,0.0,0.0
16,512,2.3933135714285716,0.0,0.0
16,1024,2.4577490476190476,0.0,0.0
18,64,2.943634952380952,0.0,0.0
18,128,3.0048989523809526,0.0,0.0
18,256,3.2063912857142856,0.0,0.0
18,512,2.7207341428571428,0.0,0.0
18,1024,3.085879714285714,0.0,0.0
20,64,2.999192761904762,0.0,0.0
20,128,3.045702428571429,0.0,0.0
20,256,3.131344857142857,0.0,0.0
20,512,2.8890566666666664,0.0,0.0
20,1024,3.1614954285714285,0.0,0.0
22,64,2.9512347142857145,0.0,0.0
22,128,2.975233238095238,0.0,0.0
22,256,3.1917561428571424,0.0,0.0
22,512,3.011380095238095,0.0,0.0
22,1024,2.980004380952381,0.0,0.0
24,64,3.8547988571428573,0.0,0.0
24,128,3.5224089047619045,0.0,0.0
24,256,3.8084899523809526,0.0,0.0
24,512,3.602277619047619,0.0,0.0
24,1024,3.7089144285714286,0.0,0.0
26,64,5.1758181428571435,0.0,0.0
26,128,5.171860904761904,0.0,0.0
26,256,5.183729428571429,0.0,0.0
26,512,4.951014714285715,0.0,0.0
26,1024,5.922843523809523,0.0,0.0
