power,threads,time,abs_err,rel_err
16,4,0.26772080000000004,0.0,0.0
16,6,0.37702040000000003,0.0,0.0
16,8,0.4130522,0.0,0.0
16,10,0.5143586,0.0,0.0
16,12,3.9103129,0.0,0.0
18,4,0.5092755999999999,0.0,0.0
18,6,0.5351942000000001,0.0,0.0
18,8,0.5666782,0.0,0.0
18,10,0.6581525,0.0,0.0
18,12,3.9773347,0.0,0.0
20,4,1.5388519999999999,0.0,0.0
20,6,1.343347,0.0,0.0
20,8,1.230969,0.0,0.0
20,10,1.367917,0.0,0.0
20,12,1.6677890000000002,0.0,0.0
22,4,4.956792,0.0,0.0
22,6,3.8060180000000003,0.0,0.0
22,8,3.4655410000000004,0.0,0.0
22,10,3.212233,0.0,0.0
22,12,3.8335839999999997,0.0,0.0
24,4,18.790950000000002,0.0,0.0
24,6,15.28625,0.0,0.0
24,8,11.64389,0.0,0.0
24,10,9.976867,0.0,0.0
24,12,10.582389000000001,0.0,0.0
26,4,69.54688,0.0,0.0
26,6,257.70921,0.0,0.0
26,8,42.66677,0.0,0.0
26,10,36.45604,0.0,0.0
26,12,37.18697,0.0,0.0
