power,threads,time,abs_err,rel_err,chunk
20,4,1.1772452352941176,0.0,0.0,32
20,4,1.2055628571428572,0.0,0.0,64
20,4,1.0866864,0.0,0.0,128
20,4,1.0098777,0.0,0.0,256
20,4,0.9883839333333332,0.0,0.0,262
20,4,1.00469255,0.0,0.0,512
20,4,0.9715658,0.0,0.0,524
20,4,1.0427756,0.0,0.0,1024
20,4,1.0251775,0.0,0.0,2048
20,4,0.9913148,0.0,0.0,4096
20,4,1.0499153636363636,0.0,0.0,8192
20,4,0.9500987,0.0,0.0,16384
20,4,0.9919988,0.0,0.0,32768
20,4,0.9949020588235294,0.0,0.0,65536
20,4,0.9712849166666668,0.0,0.0,131072
20,4,0.9745992727272728,0.0,0.0,262144
20,4,1.4027133333333337,0.0,0.0,524288
20,8,1.3250577142857145,0.0,0.0,32
20,8,0.97768092,0.0,0.0,64
20,8,1.0044356,0.0,0.0,128
20,8,1.0337017272727271,0.0,0.0,256
20,8,1.012428,0.0,0.0,512
20,8,0.9626052727272728,0.0,0.0,1024
20,8,0.9545241,0.0,0.0,2048
20,8,0.9521718181818184,0.0,0.0,4096
20,8,1.010920818181818,0.0,0.0,8192
20,8,0.8916034545454546,0.0,0.0,16384
20,8,0.961739588235294,0.0,0.0,32768
20,8,0.9373871666666668,0.0,0.0,65536
20,8,0.9449815935828876,0.0,0.0,131072
20,8,1.216905804195804,0.0,0.0,262144
